# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4.1
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=^$ -bench='^(BenchmarkTableModelSetRows|BenchmarkTableModelAppend|BenchmarkTableModelApplyDelta|BenchmarkOutlineModelSetRoots)$' -benchmem -count=10 -benchtime=2s .
# Post-P5 state: Append/Insert/Remove/ApplyDelta mutate in place.
# SetRows/SetRoots diff by row ID and take a fast append-only path when
# the new slice is the current slice plus a trailing suffix.
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkTableModelSetRows/64-16    	  318633	      7382 ns/op	    4731 B/op	      12 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23239	    103109 ns/op	  150188 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23079	    157651 ns/op	  150190 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23100	    103396 ns/op	  150188 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23350	    104313 ns/op	  150188 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   10000	    235439 ns/op	  150194 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23233	    104626 ns/op	  150188 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   14538	    163408 ns/op	  150190 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   13936	    183989 ns/op	  150194 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   22957	    103443 ns/op	  150190 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23252	    103749 ns/op	  150189 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1149	   3413736 ns/op	 2401599 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1015	   2364241 ns/op	 2400645 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1150	   2563338 ns/op	 2401017 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1178	   2047369 ns/op	 2401713 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1155	   3206449 ns/op	 2401286 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1153	   2044078 ns/op	 2401816 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1144	   3378231 ns/op	 2401098 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1094	   3100292 ns/op	 2401797 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1180	   2048651 ns/op	 2400534 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1152	   2063375 ns/op	 2400885 B/op	     186 allocs/op
PASS
ok  	github.com/tmc/swiftui	356.725s
